1.5,55,0.071442,1.0667,14.93099297, -
0.4,49,0.054349,1.0072,18.53207971, -
0.8,66,0.05379,1.9788,36.78750697, -
1,65,0.02794,0.78918,28.24552613, -
1.3,70,0.039994,1.8876,47.19707956, -
0.7,61,0.058192,1.1437,19.65390432, -
0.8,48,0.060404,0.93557,15.48854381, -
1.4,48,0.060404,0.75664,12.52632276, -
1.5,63,0.057944,1.1412,19.69487781, -
1.4,56,0.053454,1.2808,23.96078872, -
1.2,63,0.041009,0.88369,21.54868444, -
1.4,59,0.033529,1.0994,32.78952549, -
0.6,69,0.051321,1.215,23.6745192, -
0.7,63,0.06167,0.98452,15.96432625, -
